in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF,out:PMV
385,45,32,2.4,5.1,0.6,0.5,2.3,25,1.7,4.0,1.0,1.1,1.1,0,-40,1.1,0.1,4,0.6,1.0,1.2,0.3,0.0,0.993827,81.996,0.993827,0.966049,77.479012,23.662552,3,-999
393,30,29,2.0,4.0,0.8,0.2,3.7,10,0.8,3.4,2.0,1.9,0.9,0,-70,0.9,0.0,5,0.02,1.0,0.98,0.0,0.0,0.450617,80.727,0.450617,0.990741,77.224568,19.224811,0,-999
398,30,30,1.2,6.8,1.0,0.0,1.1,10,0.6,4.5,2.0,1.2,0.5,0,-80,1.0,0.0,2,0.02,1.0,6.78,0.0,0.0,0.867284,82.133,0.867284,0.919753,77.473858,35.711639,0,-999
401,65,64,2.3,7.6,0.7,0.3,0.0,40,1.8,6.0,0.8,0.2,0.0,0,-50,1.5,0.4,8,0.02,0.5,1.07,0.0,0.0,1.0,83.882,1.0,0.737654,50.951821,27.905819,7,-999
411,30,30,1.2,6.8,1.0,0.0,1.1,10,0.6,4.5,2.0,1.2,0.5,0,-80,1.0,0.0,2,0.02,0.8,6.78,0.0,0.0,0.876543,82.236,0.876543,0.919753,77.388117,36.527312,0,-999
412,30,30,1.2,6.8,1.0,0.0,1.1,10,0.6,4.5,2.0,1.2,0.5,0,-80,1.0,0.0,2,0.02,1.0,6.78,0.0,0.0,0.87963,82.133,0.87963,0.92284,77.507654,35.711639,0,-999
413,30,30,1.2,6.8,0.9,0.0,1.1,10,0.6,4.5,2.0,1.2,0.5,0,-80,0.9,0.0,2,0.02,1.0,6.78,0.0,0.0,0.87037,82.099,0.87037,0.92284,76.619105,35.12459,0,-999
419,35,32,2.2,4.3,0.8,0.6,3.0,25,1.1,6.1,0.8,0.1,0.0,0,-50,1.1,0.0,5,0.2,0.3,0.97,0.0,0.1,1.0,81.962,1.0,0.851852,71.631327,33.986653,1,-999
424,30,29,2.0,4.0,1.0,1.6,2.3,10,0.8,3.4,2.0,1.1,1.7,0,-40,1.7,0.0,5,0.1,0.9,0.98,0.0,0.0,0.45679,80.727,0.45679,1.0,78.904167,19.42592,0,-999
428,70,70,2.5,7.6,0.5,0.0,0.3,10,0.6,4.5,2.0,1.4,0.3,0,-80,0.5,0.0,2,0.02,1.0,7.58,0.0,0.0,1.0,84.053,1.0,0.799383,64.99392,39.997262,8,-999
436,55,54,2.1,7.1,0.9,0.0,0.8,40,1.8,6.0,0.9,0.1,0.1,0,-60,1.1,0.0,2,0.1,0.9,7.0,0.0,0.05,1.0,84.465,1.0,0.697531,47.968302,32.758357,5,-999
438,70,57,2.5,7.6,0.5,0.0,0.3,10,0.8,3.4,2.0,1.7,1.1,0,-40,1.1,0.1,8,0.2,0.2,0.89,0.1,0.1,1.0,83.368,1.0,0.876543,71.043765,39.827405,8,-999
446,65,60,2.3,7.6,0.7,0.2,0.1,15,1.2,3.4,0.8,0.8,2.0,0,-50,1.1,0.2,2,0.5,0.8,7.1,0.4,0.1,1.0,83.813,1.0,0.783951,63.153642,40.616255,7,-999
453,65,64,2.5,7.0,0.5,0.5,0.4,10,0.8,3.4,2.0,1.9,0.9,0,-70,0.6,0.0,2,0.1,0.1,6.9,0.05,0.05,1.0,84.122,1.0,0.814815,66.836636,44.429307,7,-999
456,50,32,2.0,6.8,1.0,0.0,1.1,10,0.8,3.4,2.0,1.1,1.7,0,-80,1.3,0.3,6,0.5,0.1,0.86,0.25,0.25,0.935185,82.476,0.935185,0.92284,78.186296,40.289361,4,-999
466,30,29,2.0,4.0,0.9,2.8,1.1,35,1.6,5.9,1.0,0.1,0.2,0,-60,1.2,0.2,5,0.2,0.4,0.98,0.0,0.0,1.0,82.133,1.0,0.904321,73.238673,26.603952,0,-999
468,30,29,2.0,4.0,0.9,0.8,3.1,10,0.6,4.5,2.0,0.0,1.7,0,-80,1.3,0.4,5,0.1,1.0,0.98,0.0,0.0,0.462963,80.693,0.462963,0.990741,78.06929,19.703649,0,-999
485,60,51,2.1,7.7,0.8,0.0,0.2,10,0.8,3.4,2.0,1.8,1.0,0,-80,0.9,0.1,2,1.2,0.1,6.5,0.9,0.3,1.0,83.539,1.0,0.851852,70.70287,43.440246,6,-999
502,55,34,2.4,6.2,0.6,0.0,1.7,10,0.8,3.4,2.0,2.1,0.7,0,-80,0.6,0.0,3,1.2,1.0,1.9,1.2,0.0,0.876543,82.133,0.876543,0.95679,78.037593,32.699591,5,-999
506,55,47,2.6,5.7,0.4,0.0,2.2,15,0.7,5.8,2.0,0.3,0.1,0,-80,0.6,0.2,3,0.4,0.6,2.45,0.35,0.05,1.0,82.922,1.0,0.904321,74.41142,35.352206,5,-999
514,30,29,2.0,4.0,0.8,1.2,2.7,35,1.7,5.6,1.0,0.6,0.0,0,-60,1.6,0.6,5,0.2,0.1,0.98,0.0,0.0,1.0,82.407,1.0,0.885802,71.469568,30.869384,0,-999
521,50,49,1.8,7.5,1.0,0.4,0.0,40,1.9,5.7,1.0,0.0,0.5,0,-50,1.3,0.0,8,0.02,0.4,1.05,0.0,0.0,1.0,83.402,1.0,0.839506,60.933302,27.304075,4,-999
522,60,41,2.1,7.7,0.8,0.1,0.1,30,1.4,5.8,0.8,0.0,0.4,0,-70,1.6,0.7,3,1.2,0.9,2.65,0.3,0.2,1.0,83.436,1.0,0.830247,66.327346,33.159415,6,-999
535,65,60,2.3,7.6,0.7,0.3,0.0,20,0.9,6.0,0.9,0.0,0.2,0,-50,1.4,0.3,7,0.1,0.5,1.17,0.05,0.05,1.0,83.402,1.0,0.79321,64.815123,32.822256,7,-999
540,50,34,2.4,5.6,0.6,1.9,0.4,35,1.8,5.2,0.8,0.1,0.9,0,-70,0.8,0.1,3,0.9,0.8,1.9,0.15,0.2,1.0,83.23,1.0,0.867284,69.834691,29.184337,4,-999
563,70,63,2.5,7.6,0.5,0.0,0.3,10,0.8,3.4,2.0,0.0,2.8,0,-80,0.6,0.1,9,0.1,1.0,0.85,0.0,0.0,0.966049,80.727,0.966049,0.95679,77.926111,18.939609,8,-999
574,70,65,2.5,7.6,0.5,0.2,0.1,10,0.8,3.4,2.0,1.3,1.5,0,-80,0.5,0.0,2,0.6,0.1,7.0,0.0,0.0,1.0,84.225,1.0,0.811728,66.446111,44.537371,8,-999
576,70,57,2.5,7.6,0.5,0.0,0.3,10,0.8,3.4,2.0,0.0,2.8,0,-80,0.6,0.1,8,0.2,0.8,0.89,0.0,0.0,0.969136,82.03,0.969136,0.953704,77.895,21.837094,8,-999
577,70,63,2.5,7.6,0.5,0.0,0.3,10,0.8,3.4,2.0,0.0,2.8,0,-80,0.6,0.1,9,0.1,1.0,0.85,0.05,0.0,0.978395,80.761,0.978395,0.947531,77.606358,19.894778,8,-999
584,55,45,2.3,6.5,0.7,1.3,0.1,30,1.4,5.8,1.0,0.3,0.1,0,-60,1.0,0.1,7,0.2,0.3,0.88,0.1,0.1,1.0,83.436,1.0,0.833333,65.794352,34.029476,5,-999
591,40,40,2.6,4.2,0.4,0.9,2.8,10,0.7,3.9,2.0,2.1,0.2,0,-80,1.0,0.6,5,0.02,0.2,1.03,0.0,0.0,0.959877,81.413,0.959877,0.932099,76.757963,37.544032,2,-999
592,60,48,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2.0,0.2,1.5,0,-80,1.1,0.7,7,0.2,0.1,0.83,0.0,0.05,1.0,82.99,1.0,0.895062,73.848457,42.553714,6,-999
593,70,63,2.5,7.6,0.5,0.0,0.3,10,0.8,3.4,2.0,2.2,0.6,0,-80,0.5,0.0,9,0.1,0.1,0.85,0.0,0.0,1.0,82.133,1.0,0.830247,68.386605,44.214329,8,-999
595,70,63,2.5,7.6,0.5,0.0,0.3,15,0.9,4.5,0.8,0.1,1.6,0,-80,1.3,0.8,2,0.8,0.9,6.8,0.35,0.45,1.0,84.053,1.0,0.753086,61.730988,42.526747,8,-999
