in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
66,Index_66_Parallel.png,Index_66_Back.png,Index_66_Front.png,Index_66_Top.png,30,29,1.4,5.8,0.8,1.6,0.5,25,1.8,3.8,1,2.4,0,-180,60,1.6,0.5,7,0.02,1.4,0.95,0,0,,3,81.516,0.808642,0.963,78.39,12.42
67,Index_67_Parallel.png,Index_67_Back.png,Index_67_Front.png,Index_67_Top.png,50,45,1.8,7.5,0.8,0.4,0,35,1.9,5,0.9,0.5,0.7,-180,60,1.8,0.9,9,0.1,1.4,0.84,0.05,0.05,,2,81.413,0.929012,1,78.65,8.92
68,Index_68_Parallel.png,Index_68_Back.png,Index_68_Front.png,Index_68_Top.png,30,29,2,4,1,0.8,3.1,10,0.6,4.5,2,0,1.7,-180,80,0.1,0.1,2,0.02,1.5,3.98,0,0,,2,85.185,0.990741,0.7284,69.15,30.77
69,Index_69_Parallel.png,Index_69_Back.png,Index_69_Front.png,Index_69_Top.png,65,48,2.3,7.6,0.7,0.1,0.2,20,1.5,3.6,0.8,0.8,1.8,-180,-60,1.2,0.1,3,1,0.1,2.8,0.45,0.55,,3,87.551,1,0.3735,49.09,40.88
70,Index_70_Parallel.png,Index_70_Back.png,Index_70_Front.png,Index_70_Top.png,55,54,1.9,7.8,0.8,0.1,0,20,1.5,3.6,0.8,1.9,0.7,-180,-70,0.2,0.8,5,0.02,0.7,1.93,0,0,,11,87.277,1,0.4198,49.39,33
71,Index_71_Parallel.png,Index_71_Back.png,Index_71_Front.png,Index_71_Top.png,55,40,1.9,7.8,1,0.1,0,10,0.8,3.4,2,1.3,1.5,-180,80,0.4,0.8,8,0.3,1.3,0.81,0.05,0.05,,4,81.893,0.737654,0.7901,72.83,16.57
72,Index_72_Parallel.png,Index_72_Back.png,Index_72_Front.png,Index_72_Top.png,35,30,2.1,4.5,0.9,2.9,0.5,30,1.5,5.4,0.9,0.4,0.4,-180,-20,2,0.6,4,0.2,1.1,1.3,0.15,0,,3,83.128,0.990741,0.8457,72.15,20.95
73,Index_73_Parallel.png,Index_73_Back.png,Index_73_Front.png,Index_73_Top.png,50,34,1.8,7.5,1,0.3,0.1,30,1.6,5.1,1,0.6,0.5,-180,40,1.8,0.3,7,0.4,0.3,0.85,0.25,0.15,,1,82.339,1,0.9414,77.46,17.43
74,Index_74_Parallel.png,Index_74_Back.png,Index_74_Front.png,Index_74_Top.png,70,61,2.5,7.6,0.5,0.2,0.1,40,1.8,6,1,0.1,0.1,-180,30,1.3,0.1,3,0.5,0.9,3.3,0.1,0.15,,12,85.734,1,0.4877,46.75,24.61
75,Index_75_Parallel.png,Index_75_Back.png,Index_75_Front.png,Index_75_Top.png,35,31,1.8,5.2,0.8,0.8,1.9,35,1.6,5.9,1,0.1,0.2,-180,-40,0.6,0,6,0.1,0.6,0.94,0.05,0.05,,6,85.219,1,0.7284,62.79,25.1
76,Index_76_Parallel.png,Index_76_Back.png,Index_76_Front.png,Index_76_Top.png,40,33,2.3,4.7,0.7,0.8,2.4,10,0.8,3.4,2,1.9,0.9,-180,20,0.9,0.4,5,0.2,1.4,0.97,0,0,,5,82.064,0.524691,0.8889,74.78,12.88
77,Index_77_Parallel.png,Index_77_Back.png,Index_77_Front.png,Index_77_Top.png,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,-180,0,1,0.5,6,0.5,0.8,0.92,0.05,0.05,,5,82.853,1,0.7809,70.87,23.05
